70세,threescore
마찰,"traction; Rubbing, chafing"
마키,maquis
막의,membranal
만능꾼,man of all work
만돌린,mandoline
만들다,found; make; To make
만듦새,doneness; the way sth is built or made
만연하다,"overgrow; infest, rampantly, rampant"
만우절,"april fools day; April first, fool's day"
만원인,packed-out
만유하여,on tour
만족시키다,"give satisfaction; supply; content, please, satisfy"
만화란,funny; comic
많은,"many; a great many; considerable, or lots of, a whole lot of"
말,man; 4.765 US gallons; Horse
말라빠져,as thin as a lath
말라티온,malathion
말피기관,malpighian tube
맑은,liquid
망간,manganese
망고,mango
망고스틴,mangosteen
망설이다,jib; to hesitate
망치,martel; hammer
맞다,"catch; sit; receive,welcome (note, usually this is 맞히다)"
맞물림,gearing; mesh
맞벌이하다,work in double harness; double harness
맞아들이다,"usher; to receive, to invite in"
매개물,fomites; vehicle
매다,hitch; Tie
매도,"denunciation, scathing; condemnation, revile; exercising of an option"
매매,"marketing; bargain, trade"
매상고,"take; proceeds, sales"
매시,mashie; mash
매점,"kiosk; bulk buying, hoarding, buying up; a store"
매주마다,week
매직아이,magic eye
맥동,pulsation; microseism; pulsebeat
맥아당,maltose
맨그로브,mangrove
맨드레이크,mandragora
맨틀,mantle
맹렬하게,with a vengeance
맹세코,"to swear an oath upon my soul; absolutely, positively, without a doubt (firmly)"
맹종시키다,lead
머리,acrolith; Head
머릿가죽,scalp
먼,remote
멋부린,"flossy; dandified, dashing, swellish"
면,queen; Subdivision of a county; Side
면모교직,linsey; half wool
면벽참선,the path to becomoing a Buddhist
면하여,quit
명,legend; Person counter
명나라,Ming
명목수입,token import
명사,"man of mark; celeb, celebrity, don, luminary; a noun (part of speech)"
몇개,certain
몇번이고마태복음182,seventy times seven
모교자랑,old school tie
모국,old country; mother country; motherland
모기,queen; A mosquito
모비행기,parent plane
모식도,mimetic diagram
모신,sacred
모으다,"impound; gather,get together"
모의실험,simulation; simulator
모의전,sham; sciamachy
모자라서,pressed
모조리,"or to the last man, all and singularly, all and singular; One and all, wholly, without exception"
모조리자백하다,own
모조보석,logie
모진,hardgrained
모험적으로,at a venture
모험하다,tempt; risk
목걸이,choker; lavalier(e); Necklace
목검,backsword
목검술,singlestick
목적,"end in view; goal,purpose"
몰아넣다,hunt
몸부림침,flounce
몸치장하다,make one's toilet; titivate
몹시,like sin; Extremely
몽상가,"Mitty; a fantasist, an ideologue"
묘안,nostrum; a brainy idea
묘하다,"shape or actions are unique or different; curious, odd, peculiar, whimsical"
무게로,by weight
무고기,knuckle
무너뜨리다,"founder; collapse, raze, demolish (a house)"
무너지다,give way; Collapse
무단히,without leave; without
무당춤,medicine dance
무도법,choreography; orchestics
무도회,"prom; an assembly, a dancing party, the prom"
무릎,knee; marrowbone; A knee
무릎가리개,kneepad
무릎덮개,lap robe
무릎부분,lap
무명실,machine cotton; cotton
무사하다,"give(get) the goby; Be safe, peaceful"
무성하다,"overrun; luxuriate, thick, dense, profuse; without a voice"
무언가,some or other; whatisit
무언극,mime; mummery; pantomime
무전국,wireless
무직자,gentleman
무차별곡선,indifference curve
무풍대,horse latitudes; doldrums
묵도,three minutes silence
묵살하다,table; to feign ignorance
문관,civil servant; a civil servant (for the military)
문어,written; an octopus
문어체,literary; written speech
문인,"man; bookman, literator, litterateur"
문인들,the scribbling tribe; literati
문자대로,to the letter; aupied de la lettre
문제,"case; question,problem"
문학작품,literary
물기,hydrosphere; Moisture
물레바퀴,flutter wheel; mill wheel
물리치다,"foil; wave; to dismiss, reject, decline; repulse, repel, beat off"
물매진면,talus
물쓰듯,like water
물품으로,in kind
미관,"tail pipe; beauty, blazonry"
미군병사,GI
미늘,flue; barb to stop fish from coming off the hook
미뢰,taste bud
미립체,microsome
미발달로,in germ
미소관,microtubule
미완성품,work; crudity; rough
미크맥족,Micmac
미행자,"tailer; a shadow, sb tailing sb"
믹서,mixer; blender; liquidizer
민물고기,sunfish
민회,a meeting by the townspeople
밀어넣다,tuck; crush
바닥,floorboard; Floor
바닷바람,sea breeze
바람잡이,caper
바람피우다,cheat
바로,"in a jiff; Right, correctly"
바위산,tor
바자,hurdle; bazaar
바친,sacred; votive
박다,"telescope; Drive,hammer in"
반감,"scandal; revolt, resistance; antipathy, ill will"
반권위적,meshugazine
반달색인,thumb index
반마취상태,twilight sleep
반문,marking; cross-question
반사적인,"reflective; kneejerk, reflex, seatofthepants"
반역죄,high treason
반증,"counterexample; counterevidence, evidence which falsifies, a rebuttal"
반짝이다,"waver; wink; Shine, glitter"
반쯤,by half; halfway; mezzo
반회전,demivolt; caracole
받다,catch; Receive
발,locomotive; Foot
발굴재,treasuretrove
발기인주,founders' shares
발끝으로,on tiptoe; atiptoe
발사대,launcher
발사시간대,launch window
발판,"footplate; footrest; footboard, foothold, footing, footstool, running board"
밧줄뜨기,cable stitch
방랑하여,on(the) tramp
방상의,floccus
방수로,"tailrace; sluiceway, spillway"
방위군,National Guard
방청석,public gallery
방출구,floodgate
방파벽,sea wall
방해하다,"prohibit; Interrupt, interfere"
배,floatage; flotage; Pear
배경,coulisse; Background
배급물,shareout
배기관,"tail pipe; an exhaust pipe, an exhaust valve"
배로,by water
배멀미하는사람,bad(good) sailor
배서하다,visa; to endorse
배수구,"scupper; carrier, catch drain, gully"
백성병,frogeye
백치,mooncalf; an idiot or just idiotism (?)
밴티지,vantage
뱃대끈,"cinch; a bellyband, a belt for the girth"
뱃사람,"salt; A seaman, sailor"
버티다,"sit tight; Endure, tolerate"
번식,"propagation; breeding, reproduction"
번지표,number plate
번호판,number plate; registration plate
벌다,"make; you have a surprising excess of sth so lots of free time; to spread, widen"
벌하다,chastise
범람하다,overflow; to flood
범위,"latitude; Range, area"
범의,malice
범하다,"transgress; commit a crime, infringe, perpetrate"
법석,"Saturnalia; ado, affray, excitement, frolic"
법의학,medical jurisprudence; forensic medicine
법인,"juridical; corporation, legal entity"
벗다,"shed; Take off, remove"
베끼다,"calk; copy, trace, transcribe, steal an idea from"
베어내다,"log; cut the grass, mow down"
변경백,landgrave
변덕,"maggot; caprice, impulse, inconstancy, whim"
변말,jargon; cant; jive
변사,violent; speaker; speechifier
변성암,metamorphic
변소,"latrine; the can, potty, toilet, water closet"
변위,malposition; (physics) displacement
병독,taint
병사들,fodder
병실,sick bay; An infirmary
병에걸리다,fall(get) sick
병으로,on the sick list
보고서,procesverbal; Report
보내다,"lead; to spend time, 시간을 보내다; Send"
보다,"than; More than, greater than ....; To try"
보도된,media event
보도자료,press release
보따리,a bundle; pack
보류,"forbearance; reservation, reserve, retention; delaying"
보리차,ptisan
보병,"infantryman; foot soldier, infantry"
보살피다,look; Take care of
보온카버,tea cozy
보이어,in view
보조금,"matching fund; categorical grant, income maintenance, pork, subsidy; deposit money for an apartment, a fairly large deposit many times the "
보존병,mason jar
보철술,prosthetics
보충하다,"make; to replenish,replace,fillup"
보통걸음,walk; footpace
보통선거,universal suffrage
복서의,pugilistic
복용약,minidose
복주머니,lucky bag
본관,"main; the location (place) where the family originated from (usually, a city"
본선,"main stem; the main election, the final election"
봄학기,lent term; Easter Term
부,"mammon; A department, a part; assistant,deputy"
부결하다,vote; voting down a bill/proposal
부골,tarsus
부권,manus
부농,kulak
부당치료,malpractice
부딪치다,"lash; Collide with, bump against"
부딪히다,hurtle; Be bumped into
부리다,"work; unload, unpack (a horse); irradiate kindness"
부부,man; Man and wife
부분,"forehead; part,portion"
부서지다,"go to smash; Break, be broken"
부엉부엉울다,hoot
부인,"lady; denial, disaffirmance, disavowal, negation, renunciation, repudiation; A woman"
부인방,zenana
부자연스런,studied; effortful; labored
부장들,matronage
부재하여,from011 home; away
부저병,foulbrood
부정배,embryoid
부제증,foot rot
부지사,"lieutenant governor; a deputy governor, a vice-governor"
부채,"punka; punkah; A debt,liabilities"
부초,floating grass
부풀게하다,inflate; raise
북,shuttle; a drum; North
북게르만어,North Germanic
분갑,puff box; powder box
분고,subtreasury
분광,prism; a spectrum
분만중에,in labor
분위기,"nimbus; atmosphere,surroundings"
분자,numerator; a molecule
분침,"minute hand; the minute hand; capricious, fickle"
분풀이로,out of spite
분할하다,"fractionalize; dismember, dispart, dissever; segment, divide up"
불,light; Fire; a light/lamp
불끈해서,in a wax
불다,puff; to blow (e.g. the wind blows)
불붙다,catch; to light sth on fire
불살생,ahimsa
불시착시키다,forceland; crash
불시착하다,forceland
