threescore,"70세, 60세"
gain,"설복시키다, 이득, 끌어들이다, 늘다"
lurid,섬쩍지근하게붉은
made,"성공자, 그러모은"
frig,"성교하다, 사기치다"
venereal,성병
ingredient,"성분, 구성요소, 합성분"
lectern,성서대
vocal,"성악, 목소리의, 소리나는, 속삭이는"
lavage,세척
micro,"미소,소, 마이크로, 마이크로스커트"
minipark,소공원
proventriculus,"소낭, 전위, 멀떠구니"
wahine,소녀
catamite,소년
setup,"소다수, 설정하다, 채비"
microcephaly,소두증
cadence,"소리, 억양, 운율"
tum,소리
urinal,소변기
kvutzah,소집단농장
micronucleus,"소핵, 부핵"
hoax,"속이다, 야바위"
laity,속인
laic,"속인의, 평신도"
territorial,"속지주의, 영해, 영토적, 지역적인"
donny,"손, 손!"
straight,"솔직하게, 5장연속, 곧게, 곧은"
upsurge,"솟구치다, 급증"
iconoscope,송상관
manacle,쇠고랑
tonlit,쇠스커트
marasmus,쇠약
talkee-talkee,수다
leverage,수단
marabout,수도사
transept,수랑
wallow,"수렁, 뒹구, 뒹굶"
tenure,수명
timber,"수목, 삼림, 용재, 인품"
keeper,"수비자, 보호자, 임자, 지기"
ox,수소
operating,"수술실, 운영비, 수술비, 수술의"
sounding,"수심, 측심"
watermark,"수위표, 투문"
voluntary,"수의근, 능동적, 수의적인, 자발적인"
lens,"수정체, 렌즈"
flex,"수축시키다, 구부리다, 굽다, 굽음"
jack,"수컷, 공기놀이, 선수기, 잭"
testee,수험자
hospice,숙박소
give,"순응성, 건네다, 공급사다, 바치다"
tagger,술래
hide,"숨다, 가리다, 숨기다, 피혁"
layup,쉼
rural,"시골의, 촌스러운"
samara,시과
maid,시녀
wilt,"시들다, 이울다, 청고병"
testdrive,시승하다
propositus,시조
wither,"식다, 말라다, 쇠퇴시키다, 시들다"
lazaretto,식료품실
settle,"식민하다, 가라앉다, 수습, 수습하다"
terrapin,식용거북
war,"신경전, 난리, 난리통, 전란"
letter,"신용장, 위임장, 글자, 증서"
freshperson,신입생
signalbox,신호소
chamber,"실, 공동, 공무집행실, 판사실"
laden,실린
misplay,"실수, 잘못하다, 에레"
weep,"실컷울다, 흘리다, 비탄하다, 울다"
turkey,"실패작, 칠면조, 터키"
fail,"실패하다, 게을리하다, 낙제하다"
followthrough,"실행, 완수"
inquest,심리
psyops,심리조작
screen,"심사하다, 막, 병풍, 칸막이"
footstock,심압대
singlebreasted,싱글의
pullulate,"싹트다, 급증하다., 번식하다"
chaff,"썰다, 마초, 여물, 왕겨"
flight,"쏘다, 경과, 고양, 날기"
loose,"쏘다, 느슨하다, 느슨해지다, 느슨히"
operculum,"아감딱지, 삭개, 선개"
mandible,아래턱
heal,"아물다, 낫도록, 치료하다"
acheulean,아슐기
vertiginous,아찔아찔하는
matutinal,아침의
maisonette,아파트
malignance,악성
misappropriate,"악용하다, 횡령하다"
marshal,"안내하다, 정렬하다"
fussily,"안달복달하여, 야단스럽게"
saddle,"안상부, 등심고기, 안장"
moderate,"알맞은, 온건한, 온화한"
seed,"알맹이, 맺히다, 시드하다"
grain,"알맹이, 곡물, 곡초, 나뭇결"
procurement,"알선, 조달, 획득"
alsatian,"알세이셔의, 알자스의"
learn,"암기하다, 배우다"
thug,"암살단원, 자객, 흉한"
ledge,"암초, 좁은선반"
weigh,"압박하다, 울리다, 떠보다, 존중되다"
forewing,앞날개
mockingbird,앵무새
fussy,야단법석하는
bromcho,야생마
veg,야채
vulnerable,약점
freeboot,약탈하다
sag,"약해지다, 굽다, 늘어남, 두려빠지다"
prettily,"얌전하게, 귀엽게, 예쁘장하게"
cabretta,양가죽
fosterage,"양육, 양자임, 육성, 장려"
hosier,양품상
yoke,"어깨, 허리, 멜대"
whether,어떻등
well,"어머, 그래, 그러다, 만무"
motherhood,"어머니, 모성, 어머니임"
procreator,어버이
matching,"어울리는, 걸맞는, 매칭, 정합"
hinge,"어지러워, 경첩"
master,"억제하다, 명인, 묘수, 석사"
sugar,"언당, 달콤하게하다, 당화하다, 사탕"
langue,언어
scimitar,언월도
some,"언젠가, 잠시, 누군가의, 약간"
land,"얻다, 국토, 땅, 뭍"
obtain,"얻다, 행해지다, 타다, 획득하다"
macle,"얼룩, 쌍정"
tusk,엄니
ma,엄마
prostrate,"엎드리다, 굴복시키다, 부복한, 쓰러뜨리다"
nacell,엔진실
thus,"여기까지는, 이것만은, 이러이러하게, 따라서"
hidebound,"여윈, 편벽되"
midinette,여자
vixen,"여자, 암여우, 쨍쨍대는"
caravan,"여행자단, 트레일러, 피크닉가다"
hustings,연단
ageism,연령차별
oration,연설
strip,"연재만화, 활주로"
ladder,"연줄, 사다리, 사닥다리"
thermosetting,열경화
oryx,영양
thane,"영주, 대향사"
fluence,영향력
forecaster,"예보관, 예측자"
formbook,예상
foreordination,예정
misdescription,오기
misentry,오기
wander,"오락가락하다, 어정대다"
save,"오래가다, 구해내다, 덜다, 면케하다"
snoot,"오만상, 속물"
lasso,올가미
forwardness,"올됨, 재빠름, 조숙성"
heave,"올림, 굽이치다, 굽이침, 기복"
mange,옴
wahabi,와하비파
top,"완성하다, 극점, 꼭대기, 뚜껑"
nix,왔다!
flychaser,외야수
outcry,"외침, 야료하다"
manta,"외투, 어깨걸이, 쥐가오리"
topcoat,"외투, 마감칠, 보호막, 스프링코트"
sum,"요점, 합계하면, 액수, 총계"
keel,"용골, 전복하다, 전복시키다, 졸도하다"
forgiving,용서하는
wanton,"우거진, 까닭없는, 까불다, 바람난"
joss,"우상, 신상"
mailcart,우편차
metrics,"운율학, 작시법"
fulminant,울리는
